"","Segment 1","Segment 2","Segment 3"
"Q1_1_When buying a boat  I do a lot of shopping around and visit multiple dealers",0.969085855219129,1.00243419533919,1.02088724002367
"Q1_2_When buying a boat  getting the lowest price is more important than the boat brand",0.93598947006561,0.789054259033547,1.17592857368833
"Q1_3_The brand of boat I buy says a lot about who I am",0.958862867140965,0.886908184484566,1.09925627131016
"Q1_4_I only consider buying a boat from a reputable brand",0.996862222289363,1.02849109057601,0.984769815835655
"Q1_5_I am willing to pay a premium for a brand with a reputation for high quality",0.980876625118639,0.991905700702264,1.01881807705959
"Q1_6_Owning a boat is a way of rewarding myself for my hard work",0.966215309643798,0.968733197772046,1.0436680233971
"Q1_7_Owning a boat gives me a sense of achievement",0.961762173296414,0.922898329262622,1.07504844699397
"Q1_8_When buying a boat  functionality is more important than style",0.954785737367644,1.0145343602553,1.02380775604664
"Q1_9_I see my boat as a status symbol",0.95070753653073,0.725292298707604,1.20444116952354
"Q1_10_When buying a boat  I rely more on expert opinion than my own  e g  consumer reports  salespeople ",1.02027519865161,0.93846124391687,1.02312339378211
"Q1_11_I tend to perform minor boat repairs and maintenance on my own",0.593053565960419,1.19859448280022,1.17264257793775
"Q1_12_When it comes to boating  I tend to prefer a basic boat with little to no frills",0.946010022091707,0.963351782826827,1.06160291209401
"Q1_13_When buying a boat  I tend to buy the latest and greatest",0.959315964500531,0.91089109383533,1.08419557487592
"Q1_14_When buying accessories for my boat  I tend to buy the latest and greatest",0.945185941553501,0.943493842512379,1.07439825044909
"Q1_15_I am serious about the technology on my boat",0.933957833211565,0.992642083897158,1.05233601602055
"Q1_16_People tend to come to me for advice about boating",0.860714020628,0.981293884507547,1.11233741262006
"Q1_17_I consider myself more knowledgeable about boating than the rest of my boating peers",0.876441317090686,0.973336366735163,1.10583876791083
"Q1_18_Boating gives me a feeling of adventure",0.979888496615341,0.975670886090722,1.02950651257439
"Q1_19_Boating allows me to experience nature",0.982143775085962,0.994553608088615,1.01627402786587
"Q1_20_When not on my boat  I often find myself doing boating related activities",0.898854246943792,0.961266480168951,1.09702578725445
"Q1_21_Boating helps me escape from everyday life and relax",0.980179474821873,0.995407745930895,1.01717153215895
"Q1_22_Boating helps me stay active",0.96361722700017,0.99701959651288,1.02817282914367
"Q1_23_Boating allows me to excel in the sports that I am passionate about   e g  fishing  racing  water sports ",0.930159236660946,0.968712032934219,1.06978646095588
"Q1_24_Boating gives me an outlet to socialize with family and or friends",0.988055052648163,0.983734327148293,1.01864038352524
"Q1_25_Being in charge of my boat is very important to me",0.924306421036947,0.978394928569761,1.06807585624586
"Q1_26_Having a powerful boat is what is most important to me",0.949132230769646,0.864715958724501,1.11993410931191
"Q1_27_Boating is the number one thing I do with my spare time",0.931635469868499,0.923540301686887,1.09646651936652
"Q1_28_Boating is my true passion in life",0.928151752230221,0.936492711029493,1.09103217818511
"Q1_29_Boating is one of many things I do in my spare time",0.966863729270273,1.00929035575492,1.0182843881153
"Q2_How many powerboats do you currently own ",0.898178656105001,1.05410638076403,1.04048360361424
"Q2_Cluster_Own a boat ",0.906641607106285,1.08496947741108,1.01539710424242
"Q3_How likely would you be to purchase a new boat in the future ",0.983348978594942,0.986253503593707,1.02050016665674
"Q4_Approximately how much did you pay for your current Boat ",1.02279641514257,0.973995656607951,0.999469270305523
"Q5_What is the horse power of your engine brand current boat engine   the boat you want to buy ",0.936879810094137,0.910194557735728,1.10086775331779
"Q6_Length of Boat  in Feet ",1.00097486096853,1.0032627770663,0.997289861882308
"Q7_1_I normally boat alone",0.844298342220291,1.00116703962958,1.11201471458011
"Q7_2_I boat with my spouse or significant other",1.01841618110156,0.995820535242101,0.989233691368772
"Q7_3_I boat with my family  including kids",1.00285850926616,0.985168666703359,1.0070412250502
"Q7_4_I boat with my friends",0.988009094205088,0.985873434731061,1.01735960987624
"Q8_How would you rate your experience regarding boating ",0.904790779828667,1.08104465493911,1.01914815525289
