"","Segment","RESPID","Q1_1_When buying a boat  I do a lot of shopping around and visit multiple dealers","Q1_2_When buying a boat  getting the lowest price is more important than the boat brand","Q1_3_The brand of boat I buy says a lot about who I am","Q1_4_I only consider buying a boat from a reputable brand","Q1_5_I am willing to pay a premium for a brand with a reputation for high quality","Q1_6_Owning a boat is a way of rewarding myself for my hard work","Q1_7_Owning a boat gives me a sense of achievement","Q1_8_When buying a boat  functionality is more important than style","Q1_9_I see my boat as a status symbol","Q1_10_When buying a boat  I rely more on expert opinion than my own  e g  consumer reports  salespeople ","Q1_11_I tend to perform minor boat repairs and maintenance on my own","Q1_12_When it comes to boating  I tend to prefer a basic boat with little to no frills","Q1_13_When buying a boat  I tend to buy the latest and greatest","Q1_14_When buying accessories for my boat  I tend to buy the latest and greatest","Q1_15_I am serious about the technology on my boat","Q1_16_People tend to come to me for advice about boating","Q1_17_I consider myself more knowledgeable about boating than the rest of my boating peers","Q1_18_Boating gives me a feeling of adventure","Q1_19_Boating allows me to experience nature","Q1_20_When not on my boat  I often find myself doing boating related activities","Q1_21_Boating helps me escape from everyday life and relax","Q1_22_Boating helps me stay active","Q1_23_Boating allows me to excel in the sports that I am passionate about   e g  fishing  racing  water sports ","Q1_24_Boating gives me an outlet to socialize with family and or friends","Q1_25_Being in charge of my boat is very important to me","Q1_26_Having a powerful boat is what is most important to me","Q1_27_Boating is the number one thing I do with my spare time","Q1_28_Boating is my true passion in life","Q1_29_Boating is one of many things I do in my spare time","Q2_How many powerboats do you currently own ","Q2_Cluster_Own a boat ","Q3_How likely would you be to purchase a new boat in the future ","Q4_Approximately how much did you pay for your current Boat ","Q5_What is the horse power of your engine brand current boat engine   the boat you want to buy ","Q6_Length of Boat  in Feet ","Q7_1_I normally boat alone","Q7_2_I boat with my spouse or significant other","Q7_3_I boat with my family  including kids","Q7_4_I boat with my friends","Q8_How would you rate your experience regarding boating ","Q9_1_Fishing   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities","Q9_2_Swimming   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities","Q9_3_Cruising   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities","Q9_4_Water Sports   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities","Q9_5_Entertaining socializing   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities","Q10_During your boating season  how many days out of the year do you typically use your boat","Q11_Gender","Q12_HOUSEHOLD income","Q13_Are you now married  widowed  divorced  separated  never married  or living with a partner ","Q14_Current Employment Status","Q15_Age in cluster","Q16_Name of the Brand rated","Q16_1_Is a brand that has been around for a long time","Q16_2_Has best in class customer service","Q16_3_Has a strong dealer network","Q16_4_Is a leader in cutting edge technology","Q16_5_Is a leader in safety","Q16_6_Is known for its innovative products","Q16_7_Is a brand for people who are serious about boating","Q16_8_Is a good brand for people that are new to boating","Q16_9_Is a brand I see in the water all the time","Q16_10_Offers boats that provide a fast and powerful boating experience","Q16_11_Offers the best boats for socializing","Q16_12_Offers the best boats for water sports  e g   tubing  ski  wakeboard ","Q16_13_Offers boats with superior interior style","Q16_14_Offers boats with superior exterior style","Q16_15_Offers boats that stand out from the crowd","Q16_16_Offers boats that look cool","Q16_17_Offers boats that can handle rough weather or choppy water","Q16_18_Offers boats that can handle frequent and heavy usage","Q16_19_Offers a wide breadth of product offerings and accessories","Q16_20_Offers boats that I can move around safely","Q16_21_Offers boats that are easy to maintain and or repair","Q16_22_Offers boats that are easy to use","Q16_23_Offers boats that are easy to clean up","Q16_24_Has low prices","Q16_25_Is a brand that gives me peace of mind","Q16_26_Makes me feel I made a smart decision","Q16_27_Is a brand that impresses others","Q17_Recommend","Q18_PurchaseFuture"
"1",1,23822,5,1,5,5,5,5,5,3,5,4,2,1,5,5,5,4,4,5,5,4,5,5,5,5,5,5,3,4,5,1,1,4,11,6,90,2,3,3,3,3,3,4,4,4,4,100,2,19,5,1,2,28,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,0,1
"2",1,224795,3,2,4,4,4,4,5,3,4,4,3,2,4,4,5,3,3,5,4,3,4,4,3,4,4,4,4,4,4,1,1,4,3,8,25,2,5,4,5,2,3,4,4,5,4,30,2,17,5,1,1,28,3,3,4,3,3,3,4,4,5,4,4,3,4,4,4,4,4,4,3,4,3,3,4,3,3,3,3,1,1
"3",1,20952,3,1,4,4,5,4,4,2,4,3,2,2,5,5,5,4,4,4,4,3,3,5,4,4,4,5,3,3,4,1,1,5,5,8,21,1,2,4,4,3,3,4,4,4,4,30,1,14,5,1,1,48,4,4,3,4,3,5,5,4,5,5,4,3,4,4,5,4,5,4,5,5,3,3,5,2,4,3,5,1,0
"4",2,5612,5,2,3,4,5,5,3,3,3,4,4,2,5,5,5,4,3,5,4,3,5,4,5,3,5,4,3,3,5,1,1,4,6,8,22,3,4,3,4,2,4,2,4,3,2,30,1,13,5,1,1,40,4,4,4,4,5,4,5,4,5,5,4,4,5,4,5,4,5,5,4,4,4,4,4,2,5,5,4,1,0
"5",3,15016,4,2,4,5,5,4,5,4,5,4,5,1,5,4,5,5,5,5,5,4,4,4,5,4,4,5,4,4,4,1,1,4,5,8,24,1,4,3,3,2,3,3,3,3,3,30,1,13,5,1,1,19,5,5,5,5,5,4,1,5,5,4,5,4,4,4,4,4,5,4,4,4,4,5,5,3,4,5,4,0,0
"6",1,14856,4,2,2,4,5,5,4,3,2,4,2,2,3,4,4,4,4,4,5,3,5,5,4,5,4,4,4,4,4,1,1,4,2,8,18,3,5,3,3,4,3,4,4,4,4,60,2,16,6,2,3,10,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,0,0
"7",3,11445,4,3,4,4,5,5,5,5,3,1,5,3,4,4,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,1,1,3,5,8,20,2,4,4,4,3,3,2,4,5,4,30,1,19,1,1,2,3,4,4,3,3,3,3,4,4,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,0,0
"8",3,12342,4,3,4,4,4,5,4,4,5,3,4,1,4,4,3,3,4,4,4,3,4,4,3,5,4,5,3,3,4,0,0,4,4,8,24,3,5,5,5,3,3,5,4,5,5,50,1,13,5,1,1,8,2,3,4,4,4,4,3,4,4,5,2,5,3,4,5,4,5,5,5,4,4,4,4,4,3,4,3,0,0
"9",3,235043,4,3,4,4,4,4,4,3,4,3,5,1,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,3,1,1,5,8,8,99,3,5,4,5,4,2,4,3,3,4,80,1,19,1,1,3,39,4,3,3,3,3,3,3,4,4,3,3,3,3,4,4,4,3,4,3,4,4,4,4,3,3,3,3,0,0
"10",1,231122,2,5,3,2,1,3,5,4,3,4,1,3,1,4,3,2,3,5,5,4,5,4,5,4,5,4,4,4,5,2,1,5,5,8,15,4,3,5,5,2,5,5,5,2,2,20,1,15,1,1,1,11,4,2,4,4,4,4,5,3,3,5,5,3,4,3,4,5,2,3,2,2,1,4,4,4,5,5,3,1,0
"11",1,479709,5,5,5,5,5,4,5,4,3,5,1,5,4,3,4,5,4,5,4,5,4,4,5,5,5,5,4,4,5,2,1,5,10,8,99,1,5,5,5,3,5,5,5,5,5,100,1,19,1,4,3,39,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,1,1
