RESPID;Q2_How many powerboats do you currently own?;Q2_Cluster_Own a boat?;Q4_Approximately how much did you pay for your current Boat?;Q5_What is the horse power of your engine brand/current boat engine? (the boat you want to buy);Q6_Length of Boat (in Feet);Q8_How would you rate your experience regarding boating?;Q10_During your boating season, how many days out of the year do you typically use your boat;Q11_Gender;Q12_HOUSEHOLD income;Q13_Are you now married, widowed, divorced, separated, never married, or living with a partner?;Q14_Current Employment Status;Q17_Recommend;Q18_PurchaseFuture
23822;1;1;11;6;90;3;100;2;19;5;1;0;1
224795;1;1;3;8;25;2;30;2;17;5;1;1;1
20952;1;1;5;8;21;3;30;1;14;5;1;1;0
5612;1;1;6;8;22;2;30;1;13;5;1;1;0
15016;1;1;5;8;24;2;30;1;13;5;1;0;0
14856;1;1;2;8;18;4;60;2;16;6;2;0;0
11445;1;1;5;8;20;3;30;1;19;1;1;0;0
12342;0;0;4;8;24;3;50;1;13;5;1;0;0
235043;1;1;8;8;99;4;80;1;19;1;1;0;0
231122;2;1;5;8;15;2;20;1;15;1;1;1;0
479709;2;1;10;8;99;3;100;1;19;1;4;1;1
489191;0;0;8;8;60;2;150;2;19;5;2;0;1
226965;1;1;7;8;20;2;25;1;19;1;2;0;1
229147;1;1;4;8;18;1;21;2;16;1;1;0;1
16919;10;1;6;8;89;3;200;1;13;1;1;1;0
422979;6;1;4;8;90;1;12;1;11;3;2;0;0
2404;2;1;10;8;5;3;5;1;16;5;1;0;0
19244;0;0;7;8;90;1;250;1;18;1;1;1;0
21508;1;1;5;8;24;3;20;1;18;1;1;0;0
12142;2;1;9;8;57;4;27;2;19;1;1;1;0
18540;1;1;7;8;24;2;30;2;17;1;1;0;0
9947;1;1;4;8;24;3;30;2;16;3;1;1;0
9830;1;1;4;8;22;2;20;2;17;1;1;0;0
225890;4;1;7;7;20;3;60;1;16;1;1;1;1
232633;1;1;3;7;19;3;22;2;18;1;1;0;1
226124;1;1;5;7;32;4;110;2;14;3;1;1;1
225038;1;1;6;7;32;3;100;1;17;1;1;0;1
15078;3;1;6;7;37;3;80;1;16;1;1;0;0
20229;1;1;6;7;38;2;150;1;13;1;1;1;0
5671;1;1;4;7;20;3;45;1;15;1;1;1;0
1238;2;1;4;7;40;3;30;1;12;5;1;0;0
3404;1;1;4;7;38;2;60;2;14;6;1;0;0
8527;1;1;6;7;36;3;45;1;15;1;2;0;0
463;0;0;8;7;36;4;50;1;19;1;1;0;0
4502;1;1;5;7;20;3;42;2;13;1;1;0;0
233106;1;1;4;7;20;4;40;1;14;1;5;0;0
473192;1;1;4;7;32;2;40;1;13;1;4;0;1
421922;1;1;6;7;20;3;23;1;16;1;4;0;1
21898;0;0;3;7;40;3;90;2;13;1;1;0;0
220191;1;1;6;7;8;2;40;2;13;1;1;0;1
239673;1;1;5;7;40;2;90;2;19;1;1;0;1
7162;1;1;6;7;15;1;60;2;16;1;1;1;0
225761;3;1;6;7;31;4;30;1;17;1;5;0;1
228711;1;1;4;7;24;3;22;1;13;1;1;0;1
225948;0;0;4;7;32;3;100;2;19;1;1;0;1
1613;1;1;4;7;35;3;20;1;19;1;1;0;0
7903;1;1;1;7;60;2;6;2;1;1;2;1;0
10465;10;1;5;7;20;2;5;1;13;5;1;1;0
4594;2;1;2;7;6;3;200;2;18;1;2;0;0
145;1;1;6;7;36;4;25;1;13;5;2;1;0
3391;1;1;7;7;20;1;6;1;17;6;1;1;0
8743;2;1;4;7;5;4;5;1;10;5;1;0;0
233426;2;1;10;7;20;2;45;1;19;1;1;0;0
17465;1;1;7;7;31;2;170;1;16;1;1;0;0
1819;1;1;5;7;31;2;44;1;19;1;1;0;0
222388;1;1;4;6;25;3;50;2;16;1;1;1;1
470670;1;1;4;6;20;3;30;2;13;1;1;0;1
421453;1;1;4;6;23;2;40;1;19;1;1;1;1
476425;0;0;11;6;40;2;90;2;1;1;2;1;1
228193;1;1;3;6;20;3;30;2;13;6;1;1;1
225685;2;1;9;6;30;3;50;2;18;1;1;1;1
235666;1;1;5;6;16;3;30;1;13;1;1;1;1
230070;0;0;6;6;20;2;35;2;16;3;5;1;1
229484;1;1;4;6;10;1;12;1;15;1;1;1;1
225628;0;0;4;6;50;2;40;2;13;1;4;1;1
420776;2;1;5;6;23;3;27;1;13;1;1;1;1
421687;1;1;4;6;21;2;8;1;12;5;1;1;1
420135;1;1;4;6;22;2;25;1;16;3;5;1;1
423349;1;1;3;6;20;3;25;1;13;1;1;1;1
476308;1;1;5;6;20;3;90;2;10;3;1;0;1
226322;1;1;4;6;21;2;120;2;16;1;1;1;1
225305;1;1;5;6;21;3;15;2;15;1;1;1;1
470026;1;1;3;6;21;3;25;1;15;1;1;1;1
422865;1;1;2;6;25;1;15;1;1;1;1;1;1
238398;0;0;5;6;28;1;150;1;19;1;5;0;1
222319;0;0;3;6;25;3;30;1;13;3;1;1;1
225418;2;1;5;6;28;3;30;1;17;1;1;1;1
240958;1;1;6;6;28;3;50;2;19;1;2;0;1
420180;0;0;6;6;20;2;20;2;15;1;1;1;1
227746;1;1;5;6;25;3;60;2;11;6;5;1;1
235686;1;1;2;6;20;1;45;2;11;1;1;1;1
23297;10;1;6;6;18;2;46;1;14;6;1;0;1
423333;1;1;4;6;20;3;30;1;14;6;1;0;1
225590;1;1;3;6;45;2;40;2;14;5;1;0;1
420405;0;0;5;6;21;2;20;1;19;5;1;0;1
225292;1;1;8;6;45;3;150;2;19;1;1;1;1
476607;1;1;4;6;21;3;100;1;12;1;2;0;1
484596;1;1;5;6;21;4;24;1;19;1;1;0;1
235456;1;1;5;6;25;3;12;1;14;1;5;0;1
223760;1;1;4;6;21;2;10;2;19;1;7;1;1
480061;1;1;3;6;20;3;30;2;13;1;1;0;1
227241;1;1;4;6;21;2;30;2;15;3;1;1;1
229752;0;0;3;6;20;2;35;1;18;1;1;1;1
477731;0;0;3;6;23;1;12;1;14;1;1;1;1
484303;1;1;4;6;20;2;18;1;13;1;1;0;1
