"","V1"
"1",1
"2",1
"3",1
"4",2
"5",3
"6",1
"7",3
"8",4
"9",3
"10",1
"11",2
"12",2
"13",4
"14",1
"15",2
"16",2
"17",4
"18",2
"19",2
"20",1
"21",1
"22",4
"23",2
"24",1
"25",3
"26",3
"27",4
"28",1
"29",3
"30",3
"31",2
"32",1
"33",3
"34",3
"35",2
"36",3
"37",4
"38",3
"39",2
"40",1
"41",4
"42",1
"43",3
"44",4
"45",4
"46",4
"47",2
"48",2
"49",2
"50",4
"51",1
"52",4
"53",1
"54",5
"55",4
"56",3
"57",3
"58",3
"59",1
"60",1
"61",3
"62",3
"63",3
"64",3
"65",1
"66",3
"67",4
"68",3
"69",3
"70",1
"71",3
"72",1
"73",3
"74",3
"75",4
"76",4
"77",1
"78",1
"79",1
"80",3
"81",1
"82",1
"83",4
"84",1
"85",3
"86",1
"87",1
"88",1
"89",1
"90",3
"91",3
"92",1
"93",4
"94",1
"95",4
"96",4
"97",2
"98",4
"99",4
"100",1
"101",1
"102",3
"103",3
"104",1
"105",3
"106",1
"107",4
"108",3
"109",1
"110",3
"111",3
"112",3
"113",4
"114",3
"115",3
"116",2
"117",3
"118",3
"119",3
"120",1
"121",3
"122",1
"123",1
"124",3
"125",3
"126",3
"127",3
"128",3
"129",2
"130",4
"131",3
"132",3
"133",3
"134",2
"135",4
"136",3
"137",3
"138",4
"139",3
"140",3
"141",3
"142",4
"143",3
"144",3
"145",1
"146",3
"147",4
"148",3
"149",5
"150",3
"151",1
"152",2
"153",2
"154",4
"155",2
"156",3
"157",4
"158",2
"159",2
"160",1
"161",4
"162",5
"163",1
"164",4
"165",4
"166",1
"167",4
"168",4
"169",1
"170",1
"171",3
"172",4
"173",1
"174",1
"175",4
"176",1
"177",4
"178",1
"179",1
"180",3
"181",3
"182",4
"183",3
"184",1
"185",3
"186",3
"187",3
"188",4
"189",3
"190",4
"191",1
"192",4
"193",1
"194",1
"195",1
"196",4
"197",2
"198",2
"199",1
"200",3
"201",2
"202",2
"203",3
"204",3
"205",4
"206",3
"207",1
"208",1
"209",4
"210",4
"211",3
"212",3
"213",3
"214",4
"215",3
"216",2
"217",4
"218",3
"219",3
"220",4
"221",3
"222",4
"223",2
"224",4
"225",3
"226",2
"227",1
"228",3
"229",4
"230",3
"231",4
"232",4
"233",3
"234",4
"235",2
"236",4
"237",4
"238",4
"239",4
"240",3
"241",3
"242",4
"243",3
"244",2
"245",4
"246",1
"247",3
"248",3
"249",2
"250",3
"251",2
"252",3
"253",4
"254",1
"255",3
"256",3
"257",2
"258",4
"259",4
"260",2
"261",2
"262",1
"263",4
"264",2
"265",3
"266",2
"267",2
"268",4
"269",4
"270",4
"271",2
"272",2
"273",4
"274",2
"275",1
"276",3
"277",2
"278",2
"279",1
"280",4
"281",2
"282",1
"283",2
"284",2
"285",2
"286",2
"287",2
"288",2
"289",2
"290",4
"291",4
"292",2
"293",2
"294",3
"295",2
"296",2
"297",2
"298",2
"299",2
"300",4
"301",2
"302",2
"303",2
"304",2
"305",2
"306",1
"307",2
"308",1
"309",2
"310",3
"311",3
"312",1
"313",2
"314",2
"315",2
"316",2
"317",3
"318",4
"319",3
"320",1
"321",2
"322",2
"323",4
"324",2
"325",5
"326",1
"327",3
"328",4
"329",3
"330",4
"331",2
"332",3
"333",2
"334",1
"335",1
"336",1
"337",2
"338",5
"339",4
"340",1
"341",3
"342",3
"343",3
"344",2
"345",1
"346",3
"347",4
"348",1
"349",3
"350",3
"351",3
"352",3
"353",3
"354",3
"355",3
"356",3
"357",2
"358",1
"359",3
"360",2
"361",3
"362",3
"363",1
"364",1
"365",1
"366",1
"367",3
"368",1
"369",3
"370",3
"371",1
"372",4
"373",1
"374",4
"375",1
"376",2
"377",1
"378",1
"379",4
"380",3
"381",3
"382",3
"383",4
"384",3
"385",3
"386",4
"387",2
"388",1
"389",3
"390",2
"391",3
"392",3
"393",3
"394",3
"395",3
"396",3
"397",3
"398",1
"399",3
"400",1
"401",1
"402",3
"403",2
"404",3
"405",4
"406",4
"407",3
"408",2
"409",3
"410",3
"411",3
"412",1
"413",1
"414",3
"415",2
"416",3
"417",3
"418",2
"419",1
"420",1
"421",3
"422",1
"423",3
"424",3
"425",1
"426",3
"427",3
"428",3
"429",3
"430",1
"431",3
"432",3
"433",3
"434",1
"435",3
"436",3
"437",3
"438",1
"439",4
"440",4
"441",2
"442",1
"443",1
"444",2
"445",1
"446",2
"447",1
"448",4
"449",3
"450",1
"451",2
"452",4
"453",4
"454",3
"455",1
"456",1
"457",2
"458",1
"459",1
"460",4
"461",2
"462",5
"463",4
"464",1
"465",4
"466",2
"467",2
"468",2
"469",2
"470",1
"471",1
"472",3
"473",4
"474",1
"475",2
"476",1
"477",1
"478",2
"479",4
"480",1
"481",2
