ID,Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price
1,1.1,Ideal,H,SI1,VG,EX,GIA,5169
2,0.83,Ideal,H,VS1,ID,ID,AGSL,3470
3,0.85,Ideal,H,SI1,EX,EX,GIA,3183
4,0.91,Ideal,E,SI1,VG,VG,GIA,4370
5,0.83,Ideal,G,SI1,EX,EX,GIA,3171
6,1.53,Ideal,E,SI1,ID,ID,AGSL,12791
7,1,Very Good,D,SI1,VG,G,GIA,5747
8,1.5,Fair,F,SI1,VG,VG,GIA,10450
9,2.11,Ideal,H,SI1,VG,VG,GIA,18609
10,1.05,Very Good,E,VS1,VG,G,GIA,7666
11,0.91,Ideal,D,VS2,VG,VG,GIA,6224
12,1.01,Good,E,SI1,G,G,GIA,5161
13,0.92,Good,I,VS2,VG,VG,GIA,3679
14,2.51,Very Good,G,VS2,VG,VG,GIA,34361
15,1.5,Very Good,F,SI1,VG,VG,GIA,11004
16,2.2,Ideal,H,VS2,EX,VG,GIA,22241
17,1.52,Ideal,D,VS1,EX,EX,GIA,17659
18,1.28,Very Good,I,VS1,EX,VG,GIA,6726
19,1.01,Good,I,SI1,VG,VG,GIA,4238
20,0.9,Very Good,F,SI1,VG,EX,GIA,3624
21,2.6,Ideal,G,VS2,EX,EX,GIA,37621
22,0.8,Very Good,F,VS1,EX,G,GIA,3559
23,1.07,Very Good,G,SI1,G,G,GIA,4829
24,2.02,Good,I,VVS2,EX,VG,GIA,19756
25,2.16,Ideal,F,VVS1,ID,ID,AGSL,44121
26,2.03,Good,G,VS1,VG,VG,GIA,23726
27,2.02,Very Good,I,SI1,G,G,GIA,14839
28,1.01,Very Good,F,SI1,EX,EX,GIA,5010
29,2.41,Very Good,H,VS2,EX,EX,GIA,27337
30,0.9,Good,H,SI1,VG,G,GIA,3485
31,0.92,Ideal,G,SI1,G,VG,GIA,4025
32,1.01,Ideal,E,VVS2,EX,EX,GIA,9735
33,2.04,Very Good,D,VVS1,VG,VG,GIA,41867
34,1.56,Ideal,G,VS1,EX,EX,GIA,14957
35,0.77,Signature-Ideal,F,SI1,EX,EX,GIA,3321
36,2.01,Very Good,I,VS1,VG,VG,GIA,18023
37,2.05,Very Good,H,VS2,VG,VG,GIA,19976
38,1.01,Very Good,F,VS2,VG,VG,GIA,6257
39,1.01,Very Good,E,SI1,EX,EX,GIA,5534
40,0.86,Ideal,E,SI1,EX,EX,GIA,4228
41,1.01,Good,G,SI1,VG,G,GIA,4905
42,2.29,Very Good,F,VS1,EX,VG,GIA,34657
43,1.28,Ideal,G,VVS2,ID,ID,AGSL,10958
44,2.12,Ideal,F,VS1,EX,EX,GIA,33667
45,0.9,Ideal,E,SI1,VG,VG,GIA,4921
46,1.44,Ideal,D,SI1,G,G,GIA,10768
47,2.28,Ideal,D,IF,VG,EX,GIA,73209
48,1.01,Signature-Ideal,D,VVS2,ID,ID,AGSL,12996
49,2.29,Ideal,G,VS2,VG,VG,GIA,27097
50,0.8,Ideal,D,VS2,VG,EX,GIA,3817
51,1.06,Signature-Ideal,G,VVS2,ID,ID,AGSL,9645
52,1.62,Ideal,F,VS2,EX,EX,GIA,18281
53,0.83,Ideal,E,SI1,EX,EX,GIA,4024
54,1.58,Ideal,G,VVS2,VG,VG,GIA,16625
55,0.91,Very Good,F,SI1,EX,VG,GIA,4546
56,1.01,Fair,D,SI1,VG,G,GIA,5628
57,1.13,Ideal,G,VVS1,EX,EX,GIA,9653
58,2,Good,I,SI1,EX,VG,GIA,14321
59,0.83,Very Good,H,VS2,VG,VG,GIA,3249
60,0.92,Very Good,E,SI1,VG,VG,GIA,4286
61,1.25,Ideal,G,VVS2,VG,VG,GIA,11089
62,1.23,Signature-Ideal,G,VS1,EX,EX,GIA,10859
