ID,Program.Code,From.Grade,To.Grade,Group.State,Is.Non.Annual.,Days,Travel.Type,Departure.Date,Return.Date,Deposit.Date,Special.Pay,Tuition,FRP.Active,FRP.Cancelled,FRP.Take.up.percent.,Early.RPL,Latest.RPL,Cancelled.Pax,Total.Discount.Pax,Initial.System.Date,Poverty.Code,Region,CRM.Segment,School.Type,Parent.Meeting.Flag,MDR.Low.Grade,MDR.High.Grade,Total.School.Enrollment,Income.Level,EZ.Pay.Take.Up.Rate,School.Sponsor,SPR.Product.Type,SPR.New.Existing,FPP,Total.Pax,SPR.Group.Revenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPP.to.School.enrollment,FPP.to.PAX,Num.of.Non_FPP.PAX,SchoolSizeIndicator,Retained.in.2012.
1,HS,4,4,CA,0,1,A,40557,40557,40420,NA,424,25,3,0.424,40266,40402,3,4,40263,B,Southern California,4,PUBLIC,1,K,5,927,Q,0.17,1,CA History,EXISTING,59,63,424,1,40402,40402,155,155,Elementary,Elementary,Elementary->Elementary,January,K,Elementary,K->Elementary,H,1,0.06364617,0.936507937,4,L,1
2,HC,8,8,AZ,0,7,A,40557,40564,40132,CP,2350,9,9,0.409,40106,40400,11,3,40088,C,Other,10,PUBLIC,1,7,8,850,A,0.091,0,East Coast,EXISTING,22,25,2350,2,40134,40417,423,140,Middle,Middle,Middle->Middle,January,Middle,Middle,Middle->Middle,H,1,0.025882353,0.88,3,L,1
3,HD,8,8,FL,0,3,A,40558,40560,40466,NA,1181,17,6,0.708,40297,40406,6,3,40206,C,Other,10,PUBLIC,1,6,8,955,O,0.042,0,East Coast,EXISTING,24,27,1181,1,40434,40434,124,124,Middle,Middle,Middle->Middle,January,Middle,Middle,Middle->Middle,H,1,0.02513089,0.888888889,3,L,1
4,HN,9,12,VA,1,3,B,40558,40560,40550,NA,376,0,0,0,NA,NA,1,0,40470,,Other,7,CHD,0,,NA,,,0,0,East Coast,EXISTING,18,18,376,0,NA,NA,NA,NA,High,High,High->High,January,Undefined,Undefined,Undefined->Undefined,H,0,NA,1,0,,0
5,HD,6,8,FL,0,6,T,40559,40564,40451,NA,865,40,8,0.494,40266,40402,9,8,40260,D,Other,10,PUBLIC,1,6,8,720,C,0.383,0,East Coast,EXISTING,81,89,865,1,40414,40414,145,145,Middle,Middle,Middle->Middle,January,Middle,Middle,Middle->Middle,H,0,0.1125,0.91011236,8,M-L,0
6,HC,10,12,LA,0,4,A,40560,40563,40451,NA,2025,9,4,0.9,40253,40457,3,1,40253,C,Other,8,PUBLIC,1,10,12,939,I,0.1,0,East Coast,NEW,10,11,2025,1,40469,40469,91,91,High,High,High->High,January,High,High,High->High,H,0,0.010649627,0.909090909,1,L,1
7,SG,11,12,MA,1,6,A,40561,40566,40466,NA,1977,16,4,0.64,40234,40422,5,2,40234,,Other,8,Catholic,1,9,12,225,G,0.08,0,Science,EXISTING,25,27,1977,1,40498,40498,63,63,High,High,High->High,January,High,High,High->High,S,0,0.111111111,0.925925926,2,S,0
8,FN,9,9,MX,0,8,A,40567,40574,40452,NA,3379,10,0,0.769,40333,40413,1,1,40323,,Other,7,CHD,1,,NA,,,0,0,East Coast,EXISTING,13,14,3379,1,40429,40429,138,138,High,High,High->High,January,Undefined,Undefined,Undefined->Undefined,I,1,NA,0.928571429,1,,0
9,CC,8,8,AZ,0,8,A,40572,40579,40330,CP,2200,30,0,0.577,40221,40221,0,4,40220,,Other,5,CHD,1,6,12,500,K,0.231,0,East Coast,EXISTING,52,56,2200,1,40429,40429,143,143,Middle,Middle,Middle->Middle,January,Middle,High,Middle->High,C,1,0.104,0.928571429,4,S-M,1
10,HD,8,8,TX,0,4,A,40581,40584,40476,NA,1428,51,1,0.773,40269,40401,1,6,40268,,Houston,5,Private non-Christian,1,PK,8,635,K,0.136,0,East Coast,EXISTING,66,72,1428,1,40435,40435,146,146,Middle,Middle,Middle->Middle,February,PK,Middle,PK->Middle,H,1,0.103937008,0.916666667,6,M-L,1
11,CD,8,8,FL,0,4,A,40581,40584,40451,NA,999,47,1,0.566,40423,40423,1,4,40268,,Other,10,CHD,1,K,12,746,O,0.096,1,East Coast,EXISTING,83,87,999,1,40430,40430,151,151,Middle,Middle,Middle->Middle,February,K,High,K->High,C,1,0.111260054,0.954022989,4,M-L,1
12,HD,8,8,FL,0,4,A,40581,40584,40466,NA,1388,32,0,0.8,40220,40410,0,5,40220,,Other,10,CHD,1,PK,8,650,L,0.3,1,East Coast,EXISTING,40,45,1388,1,40435,40435,146,146,Middle,Middle,Middle->Middle,February,PK,Middle,PK->Middle,H,1,0.061538462,0.888888889,5,M-L,1
13,HD,8,8,CA,0,6,A,40586,40591,40466,NA,2278,10,6,0.455,40233,40417,6,1,40233,A,Northern California,5,PUBLIC,1,6,8,670,Q,0.136,0,East Coast,EXISTING,22,23,2278,1,40436,40436,150,150,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.032835821,0.956521739,1,M-L,1
14,HD,8,8,CA,0,6,A,40586,40591,40460,NA,2339,20,1,0.625,40238,40413,2,4,40236,B,Northern California,5,PUBLIC,1,6,8,750,L,0.125,0,East Coast,EXISTING,32,36,2339,1,40422,40422,164,164,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.042666667,0.888888889,4,M-L,1
15,HD,5,5,CA,0,6,A,40587,40592,40466,NA,2235,21,1,0.636,40210,40421,2,4,40204,,Northern California,7,PUBLIC,1,,NA,,P5,0.091,0,East Coast,EXISTING,33,37,2235,1,40430,40430,157,157,Elementary,Elementary,Elementary->Elementary,February,Undefined,Undefined,Undefined->Undefined,H,1,NA,0.891891892,4,,1
16,SG,8,8,VA,0,5,A,40589,40593,40466,NA,1830,22,1,0.733,40283,40421,4,3,40282,B,Other,6,PUBLIC,1,6,8,753,I,0.167,0,Science,EXISTING,30,33,1830,2,40296,40431,293,158,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,S,1,0.039840637,0.909090909,3,M-L,1
17,SG,8,8,VA,0,5,A,40589,40593,40445,NA,1805,16,4,0.552,40283,40421,5,2,40282,B,Other,6,PUBLIC,1,6,8,626,N,0.345,0,Science,EXISTING,29,31,1805,2,40292,40420,297,169,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,S,1,0.046325879,0.935483871,2,M-L,1
18,SG,8,8,VA,0,5,A,40589,40593,40466,NA,1880,5,1,0.556,40283,40423,1,1,40282,B,Other,7,PUBLIC,1,6,8,467,H,0.444,0,Science,EXISTING,9,10,1880,2,40302,40435,287,154,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,S,1,0.019271949,0.9,1,S-M,1
19,HD,8,8,IA,0,3,A,40590,40593,40466,NA,1393,25,2,0.658,40213,40413,3,3,40214,B,Other,10,PUBLIC,1,6,8,360,K,0.395,0,East Coast,EXISTING,38,41,1393,1,40423,40423,167,167,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.105555556,0.926829268,3,S-M,1
20,HD,8,8,LA,0,4,A,40590,40593,40452,NA,1271,33,9,0.733,40267,40456,9,5,40267,C,Other,1,PUBLIC,1,5,7,345,E,0.311,0,East Coast,NEW,45,50,1271,2,40289,40438,301,152,Middle,Middle,Middle->Middle,February,Elementary,Middle,Elementary->Middle,H,1,0.130434783,0.9,5,S-M,1
21,HD,8,8,MI,0,5,B,40590,40594,40466,NA,812,34,5,0.453,40220,40420,8,5,40219,B,Other,10,PUBLIC,1,6,8,664,M,0.213,0,East Coast,EXISTING,75,80,812,1,40435,40435,155,155,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.112951807,0.9375,5,M-L,1
22,SG,11,12,NY,1,7,A,40590,40596,40480,NA,2785,13,2,0.619,40130,40434,2,2,40124,A,Other,6,PUBLIC,1,9,12,1693,P,0.286,0,Science,EXISTING,21,23,2785,2,40444,40451,146,139,High,High,High->High,February,High,High,High->High,S,0,0.012404017,0.913043478,2,L,1
23,HVP,7,7,NC,0,3,B,40591,40593,40466,NA,386,56,9,0.359,NA,40413,8,7,40407,,Other,7,PUBLIC,1,,NA,,P1,0.173,0,East Coast,NEW,156,163,386,1,40443,40443,148,148,Middle,Middle,Middle->Middle,February,Undefined,Undefined,Undefined->Undefined,H,1,NA,0.957055215,7,,1
24,HD,8,8,OH,0,3,B,40591,40594,40483,NA,718,19,4,0.5,40240,40420,6,5,40239,A,Other,10,PUBLIC,1,6,8,760,N,0.105,0,East Coast,EXISTING,38,43,718,1,40423,40423,168,168,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.05,0.88372093,5,M-L,1
25,HD,7,7,MN,0,4,A,40591,40594,40483,FR,1362,15,0,0.75,40241,40417,1,2,40241,C,Other,10,PUBLIC,1,7,8,641,K,0.2,0,East Coast,EXISTING,20,22,1362,1,40437,40437,154,154,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.031201248,0.909090909,2,M-L,1
26,HD,8,8,TX,0,4,A,40591,40594,40456,NA,1629,53,4,0.747,40238,40420,4,5,40236,,Dallas,5,CHD,1,PK,12,700,H,0.127,0,East Coast,EXISTING,71,76,1629,1,40431,40431,160,160,Middle,Middle,Middle->Middle,February,PK,High,PK->High,H,1,0.101428571,0.934210526,5,M-L,1
27,HD,8,8,AR,0,4,A,40591,40595,40466,NA,1899,9,1,0.818,40200,40436,0,1,40200,,Other,5,Private non-Christian,1,PK,12,1300,P,0.182,0,East Coast,EXISTING,11,12,1899,1,40443,40443,148,148,Middle,Middle,Middle->Middle,February,PK,High,PK->High,H,1,0.008461538,0.916666667,1,L,1
28,HD,8,8,MI,0,5,B,40592,40596,40480,NA,662,50,3,0.27,40273,40434,5,12,40227,A,Other,5,PUBLIC,1,6,8,685,O,0.011,0,East Coast,EXISTING,185,197,662,1,40448,40448,144,144,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.270072993,0.939086294,12,M-L,1
29,HD,NA,NA,MI,0,4,B,40592,40596,40480,NA,684,27,5,0.5,40288,40416,9,4,40259,A,Other,5,PUBLIC,1,6,8,702,Q,0.019,0,East Coast,EXISTING,54,58,684,2,40435,40444,157,148,Undefined,Undefined,Undefined->Undefined,February,Middle,Middle,Middle->Middle,H,0,0.076923077,0.931034483,4,M-L,1
30,HD,NA,NA,MI,0,4,B,40592,40596,40480,NA,677,39,1,0.52,40288,40407,4,6,40259,A,Other,5,PUBLIC,1,6,8,698,Q,0.107,0,East Coast,EXISTING,75,81,677,1,40458,40458,134,134,Undefined,Undefined,Undefined->Undefined,February,Middle,Middle,Middle->Middle,H,0,0.107449857,0.925925926,6,M-L,1
31,HD,8,8,MI,0,5,B,40592,40596,40452,NA,726,27,1,0.587,40252,40428,3,4,40249,A,Other,5,PUBLIC,1,6,8,604,Q,0.196,0,East Coast,EXISTING,46,50,726,2,40311,40442,281,150,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.07615894,0.92,4,M-L,1
