ID,NPS 2011,NPS 2010,NPS 2009,NPS 2008,geq 3 FPP Date,geq 10 FPP Date,geq 20 FPP Date,geq 35 FPP Date
1,10,10,10,10,40335,40347,40407,40420
2,9,10,10,,40162,40198,40329,
3,,10,10,,40338,40338,40477,
4,10,,10,,40549,40549,,
5,10,,10,,40311,40322,40325,40330
6,10,,,,40409,40527,,
7,,,9,,40274,40274,40274,
8,10,9,,,40441,40455,,
9,9,10,9,,40228,40280,40315,40376
10,9,,8,,40294,40298,40307,40329
11,,10,10,,40435,40442,40447,40449
12,8,8,,8,40312,40322,40331,40451
13,10,10,,,40323,40330,40515,
14,10,10,9,10,40270,40326,40423,
15,,6,,10,40442,40465,40465,
16,10,10,,,40303,40315,40324,
17,10,10,9,10,40303,40326,40330,
18,,10,,,40323,,,
19,10,10,10,10,40259,40316,40323,40329
20,10,,,,40290,40305,40310,40317
21,,,,,40301,40314,40329,40443
22,9,10,10,9,40176,40194,40478,
23,8,,,,40438,40443,40444,40447
24,10,10,10,9,40311,40342,40443,40482
25,,,,10,40329,40438,40482,
26,9,9,9,10,40255,40260,40279,40322
27,10,10,10,10,40290,40442,,
28,10,10,10,10,40296,40304,40312,40324
29,9,9,,,40300,40319,40329,40449
30,10,9,9,9,40324,40329,40336,40448
31,10,10,9,10,40322,40330,40441,40451
32,10,10,10,10,40288,40291,40298,40314
33,10,,9,10,40337,40459,,
34,10,,9,10,40312,40344,,
35,9,10,10,10,40309,40329,40442,40470
36,10,10,10,8,40259,40331,40316,40324
37,10,10,10,10,40284,40321,40330,40441
38,10,,,,40315,40322,40330,
39,10,10,,8,40305,40344,40344,40317
40,9,8,,8,40250,40255,40262,40317
41,9,9,6,9,40451,40464,,
42,10,10,10,10,40240,40250,40276,40425
43,,9,,,40323,40323,40325,40327
44,10,9,10,10,40316,40317,40346,
45,10,10,10,9,40252,40287,40309,40353
46,8,9,8,7,40308,40326,40367,
47,10,,,,40488,40490,40491,
48,10,10,,10,40344,40344,40344,
49,10,,,,40469,,,
50,,7,10,7,40472,40490,,
51,10,10,9,9,40281,40427,,
52,10,10,10,10,40302,40310,40317,40324
53,9,8,,,40423,40439,40457,40476
54,10,10,10,10,40310,40310,40312,40317
55,9,,,,40293,40336,40336,
56,10,,,,40465,40482,,
57,,,10,,40329,,,
58,9,10,10,,40319,40328,,
59,10,10,10,10,40293,40321,40324,40330
