"animal","test.sales","sales"
"penguin",63,5796
"rabbit",47,4940
"kangaroo",34,5942
"kangaroo",34,7454
"elephant",10,0
"kangaroo",42,8957
"camel",56,7741
"rabbit",61,4413
"fox",10,0
"penguin",43,4043
"lion",45,7473
"elephant",6,0
"bear",64,7281
"penguin",58,5822
"lion",47,7793
"penguin",47,4328
"penguin",62,4346
"penguin",25,2374
"kangaroo",31,6426
"koala",2,0
"penguin",71,5566
"bear",42,3583
"zebra",57,7821
"bear",36,4962
"kangaroo",63,8930
"koala",1,0
"lion",52,8941
"monkey",48,9531
"penguin",44,4876
"monkey",25,6924
"monkey",31,8785
"penguin",53,4490
"koala",2,0
"bear",40,5169
"kangaroo",37,6175
"lion",45,6987
"penguin",25,5197
"lion",41,5740
"rabbit",49,4049
"bear",65,7308
"kangaroo",42,9257
"camel",37,7074
"bear",72,6840
"monkey",45,9046
"penguin",68,5726
"bear",27,4333
"zebra",74,8874
"bear",47,5049
"rabbit",50,3257
"camel",35,6110
"fox",1,0
"elephant",9,0
"elephant",3,0
"kangaroo",57,8916
"koala",9,0
"bear",39,5423
"lion",40,7236
"zebra",50,7067
"lion",27,4902
"kangaroo",34,6462
"kangaroo",35,6135
"fox",3,0
"lion",69,7899
"rabbit",57,5149
"lion",73,8199
"lion",69,8706
"monkey",69,12542
"monkey",61,12906
"fox",3,0
"penguin",36,4621
"penguin",65,5011
"penguin",67,4979
"penguin",50,2671
"penguin",38,3257
"lion",62,9489
"lion",71,8162
"penguin",35,4805
"bear",45,6739
"kangaroo",39,5887
"zebra",49,8383
"penguin",28,4183
"fox",4,0
"bear",70,6941
"monkey",28,8336
"zebra",38,5832
"bear",71,7062
"bear",61,8232
"lion",58,7997
"bear",36,4404
"bear",69,6995
"penguin",54,5328
"bear",75,7187
"rabbit",46,3623
"penguin",29,5091
"camel",68,8129
"rabbit",42,2872
"bear",56,6681
"monkey",39,10206
"elephant",8,0
"penguin",45,4284
"fox",2,0
"penguin",52,4652
"monkey",50,10836
"monkey",60,11375
"bear",61,8347
"koala",5,0
"penguin",58,4436
"penguin",70,6092
"kangaroo",67,10157
"penguin",46,3481
"kangaroo",54,8477
"camel",28,4619
"camel",75,8631
"zebra",50,8527
"penguin",47,4980
"camel",33,6272
"bear",47,5400
"penguin",58,5923
"penguin",60,6017
"penguin",69,6897
"lion",40,6322
"zebra",28,7031
"kangaroo",35,6334
"camel",25,5244
"bear",63,5353
"lion",75,8152
"monkey",35,9398
"kangaroo",38,7658
"lion",53,6878
"lion",26,6530
"penguin",60,3652
"fox",3,0
"rabbit",67,2639
"penguin",63,5657
"penguin",65,5747
"penguin",48,5076
"bear",63,6364
"kangaroo",45,6904
"monkey",63,11681
"lion",75,7363
"monkey",54,11207
"bear",54,6877
"bear",29,4162
"penguin",39,5906
"monkey",41,9048
"bear",67,5563
"koala",6,0
"monkey",34,7813
"lion",68,9689
"kangaroo",71,10644
"rabbit",67,4077
"lion",54,8588
"camel",38,5366
"bear",50,5820
"zebra",41,7491
"fox",5,0
"lion",31,6236
"kangaroo",64,9907
"camel",27,5050
"elephant",3,0
"lion",62,8286
"elephant",5,0
"zebra",74,9843
"bear",45,5216
"zebra",69,9801
"monkey",58,10637
"camel",30,5466
"lion",74,9898
"elephant",5,0
"bear",25,2926
"penguin",28,3636
"kangaroo",43,8062
"kangaroo",51,8035
"fox",5,0
"lion",31,4616
"monkey",40,9193
"bear",74,7762
"bear",37,3731
"lion",31,5130
"lion",40,6445
"lion",38,5545
"bear",72,7291
"bear",31,4545
"bear",59,5595
"camel",58,7528
"monkey",68,15440
"elephant",3,0
"camel",51,6679
"monkey",48,9791
"fox",10,0
"bear",44,6091
"bear",72,4921
"lion",33,5738
"lion",73,10848
"lion",43,7074
"camel",52,6695
"kangaroo",30,6490
"lion",35,6072
"kangaroo",29,6048
"zebra",48,6440
"rabbit",51,3483
"monkey",64,13600
"penguin",57,5639
"monkey",25,6503
"lion",52,7743
"lion",42,8252
"bear",37,4942
"penguin",29,5914
"zebra",51,8952
"bear",58,4819
"koala",10,0
"monkey",27,5197
"penguin",37,7120
"monkey",33,8129
"monkey",28,8329
"penguin",75,5966
"rabbit",65,6501
"lion",37,7025
"penguin",54,3163
"rabbit",37,3811
"kangaroo",44,8112
"bear",67,7589
"lion",54,8498
"lion",27,4592
"bear",47,6212
"elephant",10,0
"lion",35,6627
"kangaroo",64,12010
"rabbit",39,3309
"lion",43,7134
"bear",37,5383
"bear",47,5610
"penguin",56,4481
"rabbit",51,4648
"rabbit",58,3997
"bear",65,5968
"monkey",30,7241
"penguin",43,3350
"bear",29,3172
"kangaroo",75,11695
"bear",45,6336
"bear",28,5626
"zebra",28,5080
"zebra",71,8055
"zebra",36,6349
"penguin",26,2356
"kangaroo",73,11257
"koala",9,0
"bear",26,3921
"camel",34,7460
"fox",2,0
"penguin",61,5794
"rabbit",58,4752
"lion",47,8154
"bear",49,6899
"koala",6,0
"kangaroo",60,7650
"koala",7,0
"bear",62,7048
"kangaroo",36,6798
"rabbit",73,2624
"monkey",28,7758
"monkey",25,5493
"monkey",65,12058
"zebra",44,7020
"zebra",69,7873
"monkey",56,11396
"rabbit",33,3204
"penguin",39,4113
"koala",2,0
"monkey",64,12249
"lion",54,7382
"koala",6,0
"kangaroo",37,6322
"bear",75,7896
"bear",72,7595
"kangaroo",60,9512
"lion",35,5514
"koala",10,0
"monkey",67,13912
"monkey",61,13629
"lion",49,7937
"zebra",73,10372
"koala",6,0
"penguin",54,4217
"monkey",47,10013
"bear",53,9627
"monkey",46,9462
"lion",57,7714
"bear",37,4865
"bear",69,6903
"kangaroo",61,8822
"koala",9,0
"fox",6,0
"kangaroo",35,7651
"lion",27,5798
"lion",29,4249
"lion",63,7461
"fox",2,0
"monkey",34,7250
"penguin",57,3607
"penguin",56,5536
"lion",48,6694
"monkey",48,11020
"lion",39,6278
"bear",37,4642
"bear",49,5538
"monkey",61,12531
"monkey",55,11086
"kangaroo",36,7306
"zebra",67,7266
"bear",26,5459
"monkey",51,10036
"bear",45,4408
"kangaroo",49,8192
"zebra",56,7832
"monkey",67,10967
"bear",42,5998
"kangaroo",35,5991
"bear",75,7241
"penguin",52,5841
"lion",34,6542
"bear",67,6234
"fox",2,0
"monkey",50,9806
"kangaroo",36,8392
"penguin",36,5254
"penguin",28,2731
"monkey",56,10521
"elephant",1,0
"kangaroo",57,6613
"fox",2,0
"kangaroo",55,9260
"monkey",66,16841
"monkey",70,11883
"penguin",50,4679
"penguin",51,5013
"camel",60,10121
"kangaroo",37,5778
"bear",65,7486
"monkey",65,12573
"kangaroo",56,9203
"penguin",40,3517
"elephant",6,0
"lion",28,6903
"koala",9,0
"monkey",55,9867
"lion",42,6778
"lion",57,5574
"kangaroo",47,8298
"kangaroo",57,9026
"kangaroo",29,4920
"lion",65,7878
"bear",27,4695
"lion",40,6587
"bear",60,6428
"elephant",6,0
"penguin",54,5163
"kangaroo",51,7406
"kangaroo",26,4685
"monkey",25,6719
"lion",33,6152
"kangaroo",47,7200
"bear",67,6187
"elephant",10,0
"bear",57,4786
"kangaroo",25,6628
"monkey",43,11181
"lion",52,7432
"kangaroo",67,7612
"penguin",75,5783
"kangaroo",40,7344
"penguin",61,6214
"bear",65,5937
"monkey",48,8326
"monkey",40,8175
"bear",67,6849
"zebra",63,10106
"kangaroo",44,6846
"penguin",63,4529
"fox",8,0
"bear",68,6544
"penguin",40,2201
"elephant",1,0
"koala",4,0
"kangaroo",71,10290
"lion",55,7714
"zebra",33,3788
"penguin",43,3086
"bear",69,8842
"bear",52,6062
"penguin",48,3595
"lion",54,6024
"monkey",60,11738
"kangaroo",31,7099
"kangaroo",29,6635
"koala",4,0
"zebra",27,5231
"rabbit",60,2325
"zebra",43,6781
"lion",41,6806
"bear",40,5354
"zebra",74,11224
"fox",9,0
"rabbit",29,3319
"fox",8,0
"bear",64,7805
"penguin",65,4111
"bear",38,5855
"bear",44,5302
"monkey",54,12430
"lion",43,8936
"lion",36,5733
"penguin",25,2205
"fox",2,0
"monkey",68,12236
"bear",35,6658
"lion",32,6476
"penguin",58,4715
"monkey",61,13413
"camel",49,7069
"kangaroo",70,8997
"lion",30,4913
"penguin",32,5343
"bear",59,7386
"penguin",30,3890
"rabbit",75,4446
"monkey",31,6568
"bear",50,5606
"bear",55,7862
"kangaroo",58,9333
"monkey",27,6370
"monkey",34,7405
"bear",71,7695
"zebra",26,5160
"monkey",75,14351
"lion",35,3977
"fox",10,0
"lion",66,7553
"lion",46,6889
"penguin",48,4697
"elephant",3,0
"monkey",26,5667
"bear",33,7017
"lion",42,6009
"lion",53,6725
"lion",64,7223
"monkey",45,9099
"bear",53,5555
"elephant",10,0
"bear",47,7046
"bear",53,7272
"kangaroo",46,7539
"monkey",26,7066
"kangaroo",50,6622
"monkey",62,9927
"bear",33,5515
"penguin",75,5328
"bear",41,5352
"rabbit",60,3991
"zebra",29,7041
"monkey",44,9376
"kangaroo",34,5774
"kangaroo",50,8517
"kangaroo",71,9414
"camel",45,6873
"kangaroo",67,8974
"camel",64,8237
"bear",30,4238
"lion",36,7161
"bear",65,7923
"penguin",40,5132
"penguin",64,4771
"zebra",73,9181
"fox",8,0
"penguin",59,5447
"penguin",43,5808
"monkey",72,13971
"kangaroo",59,9576
"kangaroo",75,9539
"camel",73,7724
"penguin",55,4079
"koala",7,0
"penguin",51,4826
"kangaroo",53,7929
"lion",25,6794
"rabbit",55,4849
"bear",65,6865
"lion",48,8823
"elephant",7,0
"zebra",40,7569
"zebra",68,9901
"bear",46,4468
"koala",1,0
"rabbit",47,2855
"kangaroo",60,9720
"monkey",31,7066
"penguin",65,7462
"bear",34,5207
"rabbit",44,3681
"zebra",29,4835
"bear",33,4402
"lion",63,7477
"lion",59,7870
"fox",9,0
"kangaroo",38,6511
"penguin",53,4532
"kangaroo",38,6394
"kangaroo",35,6088
"rabbit",32,2559
"monkey",72,13446
"kangaroo",28,4885
"camel",44,5152
"monkey",30,8286
"rabbit",53,4854
"koala",1,0
"monkey",73,12422
"lion",72,8531
"bear",40,4418
"camel",75,8762
"bear",28,5192
"lion",74,11840
"bear",72,8553
"bear",62,4828
"monkey",50,10104
"koala",6,0
"fox",1,0
"fox",6,0
"kangaroo",29,4824
"penguin",44,4734
"bear",29,4866
"camel",32,5590
"kangaroo",73,10076
"lion",56,8599
"lion",39,5115
"rabbit",49,2815
"koala",6,0
"lion",46,5369
"lion",72,9545
"rabbit",70,4243
"zebra",28,6379
"penguin",26,3295
"penguin",58,5082
"elephant",8,0
"fox",5,0
"kangaroo",33,6136
"monkey",46,10746
"penguin",36,3496
"penguin",28,6039
"bear",62,9276
"monkey",57,13818
"kangaroo",56,8275
"kangaroo",37,8331
"monkey",33,8239
"lion",51,7172
"bear",25,3879
"lion",58,7620
"monkey",31,7619
"lion",72,9168
"monkey",71,16193
"kangaroo",51,9526
"elephant",1,0
"zebra",36,4528
"zebra",71,10951
"lion",29,6846
"monkey",61,13102
"bear",57,5785
"kangaroo",60,8941
"penguin",47,2919
"monkey",53,9463
"monkey",55,11471
"penguin",60,4937
"monkey",51,9906
"lion",37,7450
"bear",70,9229
"lion",61,10872
"penguin",48,3561
"zebra",51,7081
"koala",4,0
"zebra",62,9902
"penguin",31,2229
"camel",73,8883
"monkey",30,8058
"penguin",65,4419
"lion",35,5875
"camel",63,9589
"penguin",51,3570
"elephant",8,0
"monkey",69,13654
"bear",50,4531
"bear",49,7098
"penguin",56,5475
"rabbit",73,5946
"monkey",72,15024
"kangaroo",42,6729
"monkey",59,10838
"penguin",26,3787
"monkey",68,12458
"camel",28,4670
"camel",56,7319
"lion",28,5210
"monkey",34,8018
"kangaroo",68,8940
"zebra",36,6418
"monkey",62,12335
"camel",25,5071
"kangaroo",74,9339
"bear",47,6825
"kangaroo",30,5004
"rabbit",59,3885
"monkey",42,9682
"kangaroo",55,8767
"monkey",28,6691
"monkey",44,9046
"camel",65,6843
"zebra",73,10680
"monkey",32,6616
"kangaroo",73,11203
"bear",55,5577
"bear",63,7060
"lion",37,4904
"fox",4,0
"monkey",40,8943
"koala",7,0
"bear",49,6142
"monkey",33,7554
"bear",56,8272
"zebra",32,3334
"bear",54,6523
"penguin",61,6599
"kangaroo",58,6878
"lion",51,8665
"kangaroo",30,5629
"monkey",49,9982
"bear",56,6091
"bear",60,5690
"monkey",60,11695
"elephant",8,0
"penguin",65,4855
"monkey",39,8474
"monkey",25,8044
"kangaroo",44,7770
"monkey",40,11093
"camel",73,10408
"lion",33,6367
"zebra",54,6704
"zebra",46,6554
"monkey",67,13333
"rabbit",69,2507
"fox",1,0
"kangaroo",53,8104
"lion",39,5932
"koala",10,0
"monkey",43,9499
"fox",1,0
"zebra",30,6391
"lion",58,8677
"monkey",44,10263
"monkey",49,11056
"kangaroo",43,7101
"penguin",68,4508
"bear",45,7052
"bear",58,5754
"camel",56,8223
"monkey",71,14291
"monkey",39,9565
"bear",63,5804
"rabbit",37,2797
"monkey",56,11979
